segment,year,metric,label,value,source
Packaging Materials,2025,sales,Sales,4478.0,AR2025 p53
Packaging Materials,2024,sales,Sales,4502.0,AR2025 p53
Packaging Materials,2025,adj_ebitda,Adjusted EBITDA,419.0,AR2025 p53
Packaging Materials,2024,adj_ebitda,Adjusted EBITDA,472.0,AR2025 p53
Packaging Materials,2025,adj_ebitda_margin,Adjusted EBITDA margin,0.094,AR2025 p53
Packaging Materials,2024,adj_ebitda_margin,Adjusted EBITDA margin,0.105,AR2025 p53
Packaging Materials,2025,adj_ebit,Adjusted EBIT,124.0,AR2025 p53
Packaging Materials,2024,adj_ebit,Adjusted EBIT,172.0,AR2025 p53
Packaging Materials,2025,adj_ebit_margin,Adjusted EBIT margin,0.027999999999999997,AR2025 p53
Packaging Materials,2024,adj_ebit_margin,Adjusted EBIT margin,0.038,AR2025 p53
Packaging Materials,2025,fv,Fair valuations and non-operational items (FV),5.0,AR2025 p53
Packaging Materials,2024,fv,Fair valuations and non-operational items (FV),2.0,AR2025 p53
Packaging Materials,2025,iac,Items affecting comparability (IAC),-46.0,AR2025 p53
Packaging Materials,2024,iac,Items affecting comparability (IAC),-343.0,AR2025 p53
Packaging Materials,2025,operating_result_ifrs,Operating result (IFRS),83.0,AR2025 p53
Packaging Materials,2024,operating_result_ifrs,Operating result (IFRS),-169.0,AR2025 p53
Packaging Materials,2025,adjusted_ebit_ltm,"Adjusted EBIT, LTM",124.0,AR2025 p53
Packaging Materials,2024,adjusted_ebit_ltm,"Adjusted EBIT, LTM",172.0,AR2025 p53
Packaging Materials,2025,operating_capital,"Operating capital, LTM",3575.0,AR2025 p53
Packaging Materials,2024,operating_capital,"Operating capital, LTM",3490.0,AR2025 p53
Packaging Materials,2025,adj_rooc,"Adjusted ROOC, LTM",0.035,AR2025 p53
Packaging Materials,2024,adj_rooc,"Adjusted ROOC, LTM",0.049,AR2025 p53
Packaging Materials,2025,cash_flow_operations,Cash flow from operations,381.0,AR2025 p53
Packaging Materials,2024,cash_flow_operations,Cash flow from operations,462.0,AR2025 p53
Packaging Materials,2025,cash_flow_after_investing,Cash flow after investing activities,-68.0,AR2025 p53
Packaging Materials,2024,cash_flow_after_investing,Cash flow after investing activities,-323.0,AR2025 p53
Packaging Materials,2025,board_deliveries_1000_tonnes,"Board deliveries, 1,000 tonnes",5009.0,AR2025 p53
Packaging Materials,2024,board_deliveries_1000_tonnes,"Board deliveries, 1,000 tonnes",4920.0,AR2025 p53
Packaging Solutions,2025,sales,Sales,1027.0,AR2025 p53
Packaging Solutions,2024,sales,Sales,987.0,AR2025 p53
Packaging Solutions,2025,adj_ebitda,Adjusted EBITDA,80.0,AR2025 p53
Packaging Solutions,2024,adj_ebitda,Adjusted EBITDA,62.0,AR2025 p53
Packaging Solutions,2025,adj_ebitda_margin,Adjusted EBITDA margin,0.078,AR2025 p53
Packaging Solutions,2024,adj_ebitda_margin,Adjusted EBITDA margin,0.063,AR2025 p53
Packaging Solutions,2025,adj_ebit,Adjusted EBIT,14.0,AR2025 p53
Packaging Solutions,2024,adj_ebit,Adjusted EBIT,-15.0,AR2025 p53
Packaging Solutions,2025,adj_ebit_margin,Adjusted EBIT margin,0.013999999999999999,AR2025 p53
Packaging Solutions,2024,adj_ebit_margin,Adjusted EBIT margin,-0.015,AR2025 p53
Packaging Solutions,2025,iac,Items affecting comparability (IAC),-12.0,AR2025 p53
Packaging Solutions,2024,iac,Items affecting comparability (IAC),-379.0,AR2025 p53
Packaging Solutions,2025,operating_result_ifrs,Operating result (IFRS),2.0,AR2025 p53
Packaging Solutions,2024,operating_result_ifrs,Operating result (IFRS),-394.0,AR2025 p53
Packaging Solutions,2025,adjusted_ebit_ltm,"Adjusted EBIT, LTM",14.0,AR2025 p53
Packaging Solutions,2024,adjusted_ebit_ltm,"Adjusted EBIT, LTM",-15.0,AR2025 p53
Packaging Solutions,2025,operating_capital,"Operating capital, LTM",602.0,AR2025 p53
Packaging Solutions,2024,operating_capital,"Operating capital, LTM",934.0,AR2025 p53
Packaging Solutions,2025,adj_rooc,"Adjusted ROOC, LTM",0.024,AR2025 p53
Packaging Solutions,2024,adj_rooc,"Adjusted ROOC, LTM",-0.016,AR2025 p53
Packaging Solutions,2025,cash_flow_operations,Cash flow from operations,73.0,AR2025 p53
